abbr_name,full_name,credits,semester,school
ASLD 609,Prctcm Amr Sgn Lang Intrprtng,6,Fall2023,1
ASLD 611,Introduction to Deaf Studies,3,Fall2023,1
ASLD 612,Intersctionality&Deaf Commntes,3,Fall2023,1
ASTR 191,Contemporary Astronomy,3,Fall2023,1
ASTR 196,Contemporary Astronomy Lab,1,Fall2023,1
ASTR 390,Undergraduate Problems,3,Fall2023,1
ASTR 394,Quest for Extraterrestrial Lif,3,Fall2023,1
ASTR 501,Honors Research,4,Fall2023,1
ASTR 503,Undergraduate Research,4,Fall2023,1
ASTR 591,Stellar Astronomy,3,Fall2023,1
ASTR 596,Observational Astrophysics,3,Fall2023,1
ATMO 105,Introductory Meteorology,5,Fall2023,1
ATMO 106,"Introductory Meteorology, Honr",5,Fall2023,1
ATMO 220,Unusual Weather,3,Fall2023,1
ATMO 321,Climate and Climate Change,3,Fall2023,1
ATMO 499,Hnrs Cours Atmospheric Science,3,Fall2023,1
ATMO 505,Weather Forecasting,3,Fall2023,1
ATMO 606,Forecastng Pract-Private Indus,2,Fall2023,1
ATMO 607,Forecstg Intern-Natnl Wthr Srv,2,Fall2023,1
ATMO 615,Tropical Meteorology,3,Fall2023,1
ATMO 640,Dynamic Meteorology,3,Fall2023,1
ATMO 650,Advanced Synoptic Meteorology,3,Fall2023,1
ATMO 680,Physical Meteorology,3,Fall2023,1
ATMO 690,Special Problems in Meteorolgy,3,Fall2023,1
ATMO 697,Seminar for Seniors,1,Fall2023,1
ATMO 699,Undergraduate Research,2,Fall2023,1
BAND 301,Workshop in:,3,Fall2023,1
BAND 402,Wind Ensemble,1,Fall2023,1
BAND 404,Symphonic Band,1,Fall2023,1
BAND 406,University Band,1,Fall2023,1
BAND 410,University Marching Band,1,Fall2023,1
BAND 466,Directed Study:,3,Fall2023,1
BASN 100,Bassoon,2,Fall2023,1
BASN 101,Bassoon Reed Making,1,Fall2023,1
BASN 121,Bassoon,4,Fall2023,1
BASN 221,Bassoon,4,Fall2023,1
BASN 300,Bassoon,2,Fall2023,1
BASN 301,Bassoon Reed Making,1,Fall2023,1
BASN 321,Bassoon,2,Fall2023,1
BASN 421,Bassoon,2,Fall2023,1
BASN 422,Bassoon,2,Fall2023,1
BASN 622,Bassoon,4,Fall2023,1
BASN 623,Senior Recital,1,Fall2023,1
BBA 301,Business and the Economy,3,Fall2023,1
BBA 302,Legal Aspects of Business,3,Fall2023,1
BBA 303,Survey of Mgmt & Leadership,3,Fall2023,1
BBA 305,Operations and SCM,3,Fall2023,1
BBA 306,Finance,3,Fall2023,1
BBA 308,Business Policy and Strategy,3,Fall2023,1
BBA 309,Business Analytics,3,Fall2023,1
BBA 402,Human Resources Management,3,Fall2023,1
BBA 411,Intro to Internationl Business,3,Fall2023,1
BBA 413,Advanced Leadership Principles,3,Fall2023,1
BCRS 104,Elemntry Bosnian/Croatn/Serb I,5,Fall2023,1
BCRS 105,"Elemntry Bosn/Croatn/Serbn I,H",5,Fall2023,1
BCRS 204,Intermed Bosn/Croatn/Serbian I,3,Fall2023,1
BCRS 205,"Intermed Bosn/Croatn&Serbn I,H",3,Fall2023,1
BCRS 675,Readngs Bosnian/Croatn/Serbian,6,Fall2023,1
BDS 101,Design Thinking and Making,3,Fall2023,1
BDS 103,Drawing for Design,3,Fall2023,1
BE 301,Managerial Economics,3,Fall2023,1
BE 302,"Managerial Economics, Honors",3,Fall2023,1
BE 305,Economics of Business,3,Fall2023,1
BIOL 100,Principles of Biology,3,Fall2023,1
BIOL 101,"Principles of Biology, Honors",3,Fall2023,1
BIOL 102,Principles of Biology Labortry,1,Fall2023,1
BIOL 105,Biology Orientation Seminar,1,Fall2023,1
BIOL 150,Prn Molecular&Cellular Biology,3,Fall2023,1
BIOL 151,"Pr Molecular&Cellular Biol,Hnr",3,Fall2023,1
BIOL 152,Princpls of Organismal Biology,3,Fall2023,1
BIOL 154,Intro Biol Lab for STEM Majors,2,Fall2023,1
BIOL 210,Intro to Clinical Lab Sciences,1,Fall2023,1
BIOL 240,Fundamentals of Human Anatomy,3,Fall2023,1
BIOL 241,Human Anatomy Observation Lab,2,Fall2023,1
BIOL 246,Principles of Human Physiology,3,Fall2023,1
BIOL 247,Prncpls of Human Physiolgy Lab,2,Fall2023,1
BIOL 350,Principles of Genetics,4,Fall2023,1
BIOL 360,"Principles of Genetics, Honors",4,Fall2023,1
BIOL 370,Introduction to Biostatistics,4,Fall2023,1
BIOL 400,Fundamentals of Microbiology,3,Fall2023,1
BIOL 401,"Fundamentals Microbiology, Hnr",4,Fall2023,1
BIOL 402,Fundmntals of Microbiology Lab,2,Fall2023,1
BIOL 405,Laboratory in Genetics,3,Fall2023,1
BIOL 413,The Tree of Life,4,Fall2023,1
BIOL 414,Principles of Ecology,3,Fall2023,1
BIOL 415,Field and Lab Mthds in Ecology,2,Fall2023,1
BIOL 416,Cell Structure and Function,3,Fall2023,1
BIOL 420,Seminar:,2,Fall2023,1
BIOL 423,Non-laboratory Indepndnt Study,9,Fall2023,1
BIOL 424,Independent Study,9,Fall2023,1
BIOL 425,Teaching Apprntcshp in Biology,9,Fall2023,1
BIOL 435,Introduction to Neurobiology,3,Fall2023,1
BIOL 442,Human Anatomy Dissectn Labrtry,3,Fall2023,1
BIOL 446,Biology of Sleep,3,Fall2023,1
BIOL 449,Lab/Field Work in Human Biolgy,3,Fall2023,1
BIOL 490,Internshp & Practicl Applicatn,6,Fall2023,1
BIOL 499,Introducton to Honors Research,2,Fall2023,1
BIOL 503,Immunology,3,Fall2023,1
BIOL 504,Immunology Laboratory,2,Fall2023,1
BIOL 509,Biology of Spiders,3,Fall2023,1
BIOL 518,Bacterial Genetics,3,Fall2023,1
BIOL 519,Bacterial Genetics Laboratory,2,Fall2023,1
BIOL 544,Comparative Animal Physiology,3,Fall2023,1
BIOL 545,Evolution of Development,4,Fall2023,1
BIOL 547,Mammalian Physiology Laboratry,2,Fall2023,1
BIOL 593,Ornithology,3,Fall2023,1
BIOL 594,Forest Ecosystems,3,Fall2023,1
BIOL 599,Senior Seminar:,1,Fall2023,1
BIOL 600,"Introd Biochemistry, Lectures",3,Fall2023,1
BIOL 612,Fundamentals of Microbiology,3,Fall2023,1
BIOL 636,Biochemistry I,4,Fall2023,1
BIOL 637,Introductory Biochemistry Lab,2,Fall2023,1
BIOL 648,Systematics and Macroevolution,3,Fall2023,1
BIOL 661,Ecology of Rivers and Lakes,3,Fall2023,1
BIOL 680,Genomics,3,Fall2023,1
BIOL 688,Molecular Biology of Cancer,3,Fall2023,1
BLAW 301,Legal Aspects of Business,3,Fall2023,1
BLAW 302,"Legal Aspects of Business,Hnrs",3,Fall2023,1
BLAW 525,Negotiations&Dispute Settlemnt,3,Fall2023,1
BSAN 202,Statistics,3,Fall2023,1
BSAN 230,Intro AIO Professions,1,Fall2023,1
BSAN 302,Quantitatve Mthds&Data Anlysis,3,Fall2023,1
BSAN 310,Intro to Business Analytics,3,Fall2023,1
BSAN 311,"Intro to Bus Analytics, Honors",3,Fall2023,1
BSAN 320,Fundmtls in Application Dvlmpt,3,Fall2023,1
BSAN 325,Systems Analysis and Design,3,Fall2023,1
BSAN 326,Database Management Systems,3,Fall2023,1
BSAN 415,Data Analysis and Forecasting,3,Fall2023,1
BSAN 418,Modeling and Risk Analysis,3,Fall2023,1
BSAN 420,Data Visualization in Business,3,Fall2023,1
BSAN 430,Marketing Analytics,3,Fall2023,1
BSAN 440,Foundations in Bus Analytics,3,Fall2023,1
BSAN 450,Data Mining & Pred Analytics,3,Fall2023,1
BSAN 465,Customer Relationship Managmnt,3,Fall2023,1
BSAN 480,Business Analytics Capstone,3,Fall2023,1
BSCI 350,Genetics,4,Fall2023,1
BSCI 351,Genetics Laboratory,3,Fall2023,1
