abbr_name,full_name,credits,semester,school
ENTR 301,Starting Your Own Business,3,Spring2023,1
ENTR 302,Financing Your Own Business,3,Spring2023,1
ENTR 303,Marketing Your Own Business,3,Spring2023,1
ENTR 480,Management of Small Business,3,Spring2023,1
ENTR 490,Social Entrepreneurship,3,Spring2023,1
ENTR 500,Indivdl Rsrch Entrepreneurshp:,3,Spring2023,1
EPHX 601,Desgn Physical&Electronic Syst,4,Spring2023,1
EPHX 611,Introductory Quantum Mechanics,3,Spring2023,1
EPHX 615,Numerical&Computatnl Mthd Phsx,3,Spring2023,1
EPHX 621,Mechanics II,3,Spring2023,1
EPHX 631,Electromagnetic Theory,3,Spring2023,1
EPHX 661,Intro Elemntry Particle Physcs,3,Spring2023,1
EPHX 681,Concepts in Solids,3,Spring2023,1
EPHX 693,Gravitation and Cosmology,3,Spring2023,1
EPSY 305,Devlpmnt&Learng of the Child,3,Spring2023,1
EPSY 320,Basics of Classroom Assessment,1,Spring2023,1
EPSY 515,Rsearch Methds McNair Scholars,3,Spring2023,1
EPSY 520,Classroom Assessment,2,Spring2023,1
EURS 302,Eurpn Cultur&Society 1945-Pres,3,Spring2023,1
EVRN 142,Globl Env II:Ecol Hmn Civilztn,5,Spring2023,1
EVRN 145,"Glbl Evrn II:Eclgy Hmn Cvlz,Hn",5,Spring2023,1
EVRN 304,Environmental Conservation,3,Spring2023,1
EVRN 320,Environmental Policy Analysis,3,Spring2023,1
EVRN 347,Envrn History of North America,3,Spring2023,1
EVRN 385,Environmental Social Problems,3,Spring2023,1
EVRN 386,Sociology of Global Food,3,Spring2023,1
EVRN 412,Ecology: Fndmntls&Applications,3,Spring2023,1
EVRN 490,Evironmental Studies Internshp,4,Spring2023,1
EVRN 528,Environmntl Justce&Publ Policy,3,Spring2023,1
EVRN 542,Ethnobotany,3,Spring2023,1
EVRN 611,"Water Qual,Land Use&Wtrshd Eco",3,Spring2023,1
EVRN 616,Environmental Impact Assessmnt,3,Spring2023,1
EVRN 645,Native&Western Views of Nature,3,Spring2023,1
EXM 307,Installation Art I,3,Spring2023,1
EXM 326,Video and Time-Based Media I,3,Spring2023,1
EXM 526,Video and Time-Based Media II,3,Spring2023,1
EXM 535,Intermediate Expanded Media,3,Spring2023,1
EXM 536,"Intermdate Expnded Media, Hnrs",3,Spring2023,1
EXM 537,Advanced Expanded Media,3,Spring2023,1
EXM 538,"Advanced Expanded Media, Hnrs",3,Spring2023,1
EXM 577,Installation Art II,3,Spring2023,1
EXM 578,"Installation Art II, Honors",3,Spring2023,1
FIN 303,Finance Schlrs II:Fin Car&Inst,1,Spring2023,1
FIN 420,International Finance,3,Spring2023,1
FIN 445,Fixed Income,3,Spring2023,1
FIN 448,Business Valuation,3,Spring2023,1
FMS 302,Undergraduate Studes Semnr in:,3,Spring2023,1
FMS 311,Histry of  American Sound Film,3,Spring2023,1
FMS 313,Hst Intrntl Sound Flm Pst 1950,3,Spring2023,1
FMS 331,Mafia Movies,3,Spring2023,1
FMS 373,Intermediate Screenwriting,3,Spring2023,1
FMS 375,Intermediate Video Production,3,Spring2023,1
FMS 410,US Diversity in Visual Culture,3,Spring2023,1
FMS 480,Music Video Production,3,Spring2023,1
FMS 592,Documentary Film and Video,3,Spring2023,1
FREN 112,Introduction to French II,3,Spring2023,1
FREN 150,"Zombies, Aliens, Monsters",3,Spring2023,1
FREN 152,France and the French,3,Spring2023,1
